,,,,,,,,,,
,,,,,,,,,,Prompt:
,,글로스 시퀀스,한국어 문장,GPT 5.2,GPT-oss,Gemini 3 Flash,Gemini 3 Pro,,,"I'm going to give you a sequence of Korean Sign Language Gloss. Your job is to turn it into a natural Korean sentence. Try to preserve as much of the original meaning as possible, the goal is to try to match the internal answers that I have. Give me your best guess. I'll give you in batches of 10. For a hint all these sentences are in the subcategory of natural disaster/warning PSAs."
,1,청주 시청 병 있다 없다 상관없다 코로나 무료 코로나검사 주다 가능 가깝다 시설 방문 집 집 1 사람 방문 방문 코로나검사 정말 가족 감염 막다 가능,[청주시청] 증상유무와 관계없이 코로나 무료 진단검사 가능. 가까운 보건소 선별진료소에서 가구당 1명 검사로 가족내 감염을 예방해 주시기 바랍니다.,청주시청에서 병원 방문 여부와 관계없이 코로나19 무료 검사를 받을 수 있습니다. 가까운 선별검사소를 방문해 1인당 검사를 받으면 가족 감염을 막는 데 큰 도움이 됩니다.,"청주 시청에서는 코로나 검사를 무료로 제공하고, 병이 있든 없든 상관없이 가까운 시설을 방문해 집에 있는 사람에게 한 번씩 검사받게 해 주어 가족 감염을 막는 데 도움을 줍니다.","청주시청에서 안내드립니다. 증상 유무와 상관없이 누구나 무료로 코로나 검사가 가능합니다. 가까운 검사 시설을 방문해 주시고, 특히 가구당 한 명은 반드시 검사를 받아 가족 내 감염을 예방해 주시기 바랍니다.","청주시에서 알려드립니다. 증상 유무와 상관없이 무료로 코로나19 검사가 가능합니다. 가까운 선별진료소를 방문해 주시고, 가족 간 감염을 막기 위해 1가구당 1명은 꼭 검사를 받아주시기 바랍니다",,,
,2,날짜:9월7일 바람 비내리다 마이삭 태풍 올것이다 간판 붙이다 비닐하우스 시설 장소 장소 강하다 고정 밖 하지마,"9.7(월) 태풍 '마이삭' 북상중. 강풍 및 폭우가 예상되니 간판, 비닐하우스 등 시설물을 고정하시고, 외출을 자제하여 주시기 바랍니다.","9월 7일 태풍 ‘마이삭’의 영향으로 강한 바람과 비가 예상됩니다. 간판과 비닐하우스 등 시설물은 단단히 고정하고, 위험하니 외출을 삼가시기 바랍니다.","9월 7일은 바람이 세고 비가 내리는 날이며, 마이삭 태풍이 올 예정이라 간판을 붙여 비닐하우스 시설 위치를 표시하고 강한 바람에 대비해 밖에 나가지 말라고 합니다.","9월 7일 태풍 '마이삭'의 영향으로 강한 비바람이 예상됩니다. 간판, 비닐하우스 등 시설물을 단단히 고정하시고 야외 활동은 자제해 주시기 바랍니다.","9월 7일 비바람을 동반한 태풍 '마이삭'이 북상할 예정입니다. 간판이나 비닐하우스 등 시설물을 단단히 고정해 주시고, 가급적 외출을 자제해 주시기 바랍니다",,,
,3,청주 도시 책임 발표 걸리다 사람 계산 2 걸리다 567 걸리다 이어지다 검사 중 걸리다 568 공주 걸리다 사람 만나다 장소 장소 이어지다 검사 끝 뒤 인터넷 발표 계획,"[청주시청] 2명 확진[567번(감염경로 조사중), 568번(공주 확진자 접촉)]. 동선은 역학조사 후 홈페이지·블로그에 게시 계획입니다.","청주시는 확진자 발생 현황을 발표했습니다. 567번 확진자와 접촉한 사례가 확인돼 현재 검사 중이며, 568번 확진자는 공주 지역에서 접촉한 장소들이 있습니다. 검사 결과가 나오는 대로 관련 동선은 인터넷을 통해 공개할 예정입니다.",청주시는 책임을 발표하며 인원 수를 계산해 2명과 567명이 검사를 받고 있습니다. 검사 결과가 끝난 뒤에는 인터넷으로 공지할 계획입니다.,"청주시에서 확진자 현황을 발표합니다. 확진자 567번으로부터 연쇄 감염이 이어져 현재 검사 중이며, 568번 확진자는 공주 확진자와의 접촉으로 발생했습니다. 자세한 동선은 검사 종료 후 인터넷에 공지할 계획입니다.","청주시에서 확진자 발생을 알려드립니다. 청주 567번 확진자와, 공주 확진자와 접촉한 568번 확진자가 발생했습니다. 현재 역학조사가 진행 중이며, 조사가 끝나는 대로 홈페이지를 통해 이동 동선을 공개할 계획입니다",,,
,4,오늘 오후 시:2시 남면 석보면 신월 마을 지시 산불 거세다 사고 가깝다 살다 사람 모두 편하다 신경쓰다 조심 부탁,"오늘 14:00 남면 석보면 신월마을 입구 대형산불 발생, 인근 주민은 안전에 주의하시기 바랍니다.","오늘 오후 2시, 남면·석보면 신월마을 인근에서 산불이 발생해 확산되고 있습니다. 인근 거주 주민 여러분은 안전에 각별히 유의해 주시기 바랍니다.","오늘 오후 2시 이후에는 석보면 신월 마을에서 산불이 발생할 위험이 있어, 사고가 가까워서 모두가 안전에 유의하고 주의를 기울여 주시길 부탁드립니다.",오늘 오후 2시경 남면 석보면 신월마을 인근에서 거센 산불이 발생했습니다. 인근 주민들은 안전에 각별히 유의하시고 조심하시기 바랍니다.,오늘 오후 2시경 남면 석보면 신월리 인근에서 산불이 발생해 불길이 거셉니다. 인근에 거주하시는 주민 여러분께서는 안전에 유의하시고 각별한 주의를 부탁드립니다,,,
,5,전기 불 사고 자세하다 자세하다 무엇 마지막 알려주다 어디 울산 울산 지역 동구 범일동 831 하이픈 79 장소 오늘 아침 시:8시38분 전기 꾸미다 불 사고,오늘 08시 38분 울산 동구 범일동 831-79 전기안전공사 화재 발생. 자세한 사항은 추후 알림.,"오늘 오전 8시 38분, 울산 동구 범일동 831-79에서 전기 설비 관련 화재 사고가 발생했습니다. 자세한 경위는 확인되는 대로 추가로 안내드리겠습니다.","오늘 아침 8시 38분, 울산 동구 범일동 831번지(하이픈 79)에서 전기 불 사고가 발생했습니다. 자세한 내용은 추후 공지됩니다.","화재 사고 속보입니다. 오늘 아침 8시 38분경, 울산 동구 범일동 831-79번지에서 전기 설비로 인한 화재가 발생했습니다.",전기 화재 사고 속보입니다. 오늘 아침 8시 38분경 울산 동구 범일동 831-79번지 일대에서 전기 설비 작업 중 화재가 발생했습니다.,,,
,6,오늘 밤 부터 눈내리다 바람 춥다 온도내려가다 아마 밖 하지마 수도꼭지 얼음 부딪히다 조심 따뜻하다 작동 불타다 막다 길 얼다 미끄럽다 미끄럽다 여러가지 조심,"오늘 밤부터 대설, 강풍, 한파가 예상되오니 야외활동 자제, 수도시설 동파, 낙하물 주의, 온열기 화재예방, 빙판길에 안전운행 바랍니다.","오늘 밤부터 눈이 내리고 바람이 강해지며 기온이 크게 떨어질 것으로 보입니다. 외출을 자제해 주시고, 수도꼭지 동파에 유의하며 난방기구는 안전하게 사용해 화재를 예방해 주세요. 도로가 얼어 미끄러울 수 있으니 각별히 주의하시기 바랍니다.","오늘 밤부터 눈이 오고 바람이 차갑게 부는 가운데 기온이 내려가면서 밖에 나가지 말라고, 수도꼭지가 얼어 부딪히지 않도록 조심하고 따뜻하게 유지하며 화재를 막아야 합니다. 길은 얼어 미끄럽기 때문에 여러 가지 주의가 필요합니다.",오늘 밤부터 강풍을 동반한 폭설과 한파가 시작됩니다. 외출을 자제하시고 수도계량기 동파에 대비해 주십시오. 빙판길 미끄럼 사고 등 각종 안전사고에 각별히 주의하시기 바랍니다.,"오늘 밤부터 눈이 내리고 바람이 불며 기온이 크게 떨어질 것으로 보입니다. 외출을 자제해 주시고 수도 계량기 동파와 전열기구 화재, 빙판길 미끄럼 사고 등 안전사고에 주의하시기 바랍니다",,,
,7,지방 길 1057 호 하동 지역 지역 상촌 지역 지역 612 하이픈 10 강 넘치다 위험 교통 끊다 끊다 지시 불가능 자동차,지방도 1057호선(하동읍 상촌리 612-10)  하천 범람우려로 차량통행이 불가하니 우회하여 주시기 바랍니다.,지방도 1057호선 하동 지역(상촌 일대 612-10 인근)은 하천 범람 위험으로 교통이 통제됩니다. 해당 구간은 차량 통행이 불가능하니 우회해 주시기 바랍니다.,하동 지역 상촌 지방 길 1055호와 612번(하이픈 10) 근처에서 강이 넘쳐 교통이 차단되어 자동차 이동이 불가능합니다.,지방도 1057호선 하동군 상촌리 612-10 인근 강물이 범람하여 교통이 통제되었습니다. 현재 자동차 통행이 불가능하니 우회하시기 바랍니다.,지방도 1057호선 하동군 상촌리 612-10번지 인근 강물이 범람할 위험이 있어 차량 통행을 전면 통제합니다. 우회하여 주시기 바랍니다,,,
,8,장소 오매 2 565 하이픈 58 전기 사고 되돌리다 복구 중 불량 지면 손대다 찌릿하다 사고 지시 조심,오남읍 오매2리 565-58에 발생한 전기사고 복구중. 누전에 인한 감전사고 발생되고 있으니 참고하시기 바랍니다.,오매2리 565-58 일대에서 전기 사고로 복구 작업이 진행 중입니다. 지면이나 설비를 만지면 감전 위험이 있으니 접근하지 말고 각별히 주의해 주십시오.,"오매 2번(565번지), 하이픈 58에서 전기 사고가 발생해 복구 작업 중입니다. 불량한 지면에 손대면 감전 위험이 있으니 조심하시기 바랍니다.",오매2길 565-58 인근에서 전기 사고 복구 작업이 진행 중입니다. 감전 위험이 있으니 지면에 노출된 전선 등에 손을 대지 않도록 주의하시기 바랍니다.,오매 2리 565-58번지 일대에서 전기 사고가 발생해 현재 복구 작업 중입니다. 땅에 떨어진 전선 등은 감전의 위험이 있으니 절대 손대지 마시고 주의해 주십시오,,,
,9,장미 인천 지역 지역 태풍 중 바다 가깝다 흐르다 바다 위험 장소 방문 금지 붙이다 깜빡이다 지도 돌떨어지다 북쪽 신경쓰다 조심,태풍 장미가 인천지역 근접 중. 하천변·해안가등 위험지역 접근금지. 간판·가로수등 낙하물 주의,"인천 지역은 태풍 영향으로 해안과 인접 해역이 매우 위험합니다. 해변 및 위험 지역 출입을 금지하며, 낙석 우려가 있으니 특히 북측 해안 인근 접근을 삼가 주시기 바랍니다.",인천 장미 지역에서는 태풍으로 인해 바다가 가깝고 물이 차오르며 방문 금지 구역이 지정되었습니다. 지도와 표식을 확인하시고 특히 북쪽 부근에서 주의해 주세요.,태풍 '장미'가 인천 지역을 지나고 있습니다. 해안가 저지대 침수와 낙석 피해가 우려되니 위험 지역 방문을 금지하고 안전에 유의하시기 바랍니다.,"태풍 '장미'가 인천 지역을 지나고 있습니다. 해안가 등 위험 지역 방문을 금지해 주시고, 태풍 북상에 따른 낙석 사고 등에 각별히 신경 써 주시기 바랍니다.",,,
